county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"Nevada County, California",2010,98794,54456,0.5000404882887625,0.49995951171123754,0.9352693483409924,0.0027228374192764743,0.009757677591756584,0.014859201975828492,0.00507115816750005,0.013077717270279572,0.01924205923436646,0.11941674949534281
"Orange County, California",2010,3018963,70880,0.5054974174907079,0.4945025825092921,0.6120989227095529,0.01648049346745886,0.00379832412652954,0.1807766441655628,0.0034647658815295185,0.153035661583133,0.03034518806623334,0.12166807449297279
"Placer County, California",2010,350048,67884,0.5129267986104763,0.4870732013895237,0.8319287640552153,0.012821098820733156,0.01125559923210531,0.05907189871103392,0.0033766797696315933,0.04062871377639638,0.04091724563488436,0.09401770641965189
"Riverside County, California",2010,2203332,54296,0.5020541616061492,0.49794583839385076,0.6740073670241252,0.06138974970635383,0.009501064751022543,0.06040578541953732,0.003664903881938809,0.14856907628991,0.042462052927112214,0.16309816137393135
"Sacramento County, California",2010,1421959,52709,0.509706679306506,0.49029332069349396,0.603590539530324,0.10144104014250763,0.00991167818481405,0.1429436432414718,0.00988425123368536,0.06835218174363678,0.06387666592356038,0.1683870777638273
"San Bernardino County, California",2010,2042441,52607,0.503180752834476,0.496819247165524,0.6431431801457178,0.08775039278980397,0.009790735693221983,0.06299325170225235,0.003156027518053153,0.14838470242224866,0.04478170972870208,0.1802606746431526
"San Diego County, California",2010,3105989,59923,0.4980861168536012,0.5019138831463987,0.7157111631754008,0.049768044896488686,0.005951405494353006,0.10791731715727261,0.004123002367361893,0.06911260793261019,0.047416458976512796,0.1481224189985615
"San Francisco County, California",2010,805463,71745,0.4933783426426788,0.5066216573573212,0.5146406476771745,0.061267867052862766,0.004947464998392229,0.334031482513784,0.004301873580785213,0.04492819657762057,0.03588246759938073,0.12546833123238868
"San Joaquin County, California",2010,687744,50011,0.5021359691978411,0.49786403080215896,0.6134957193374279,0.07016273497115205,0.014594093150939885,0.1420964777591662,0.004859366275823562,0.09227561418202122,0.0625159943234692,0.19229206743694216
"San Luis Obispo County, California",2010,270113,53978,0.4859262604909797,0.5140737395090202,0.8242846512385558,0.02461932598579113,0.008492741926527046,0.03184963330161821,2.5915079985043294e-4,0.0824914017466764,0.02800309500098107,0.14443815532712426
"San Mateo County, California",2010,720162,82748,0.5077996339712454,0.49220036602875467,0.5888924991876827,0.024518094539839646,0.00478225732543511,0.24940638356369818,0.015257678133531067,0.06513951027685437,0.05200357697295886,0.06750330417622646
