geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_poverty
19,Iowa,2011,3062309,49427,643,829,0.5061729564194861,0.49382704358051394,0.1278390283175676
20,Kansas,2011,2871238,48964,709,894,0.5043294913204688,0.4956705086795313,0.13759847570110392
21,Kentucky,2011,4369356,41141,626,745,0.5093681997987805,0.4906318002012196,0.19141642971929906
22,Louisiana,2011,4574836,41734,747,694,0.5112137353120418,0.4887862646879582,0.20434044180501193
23,Maine,2011,1328188,46033,747,950,0.5098013233066403,0.49019867669335965,0.14125188712112413
24,Maryland,2011,5828289,70004,1153,1647,0.51611665104458615,0.48388334895541385,0.10058848857391514
25,Massachusetts,2011,6587536,62859,1034,1655,0.5160870468108257,0.4839129531891742,0.11598819440038145
26,Michigan,2011,9876187,45981,739,947,0.5090537471597085,0.4909462528402915,0.17535712584375318
27,Minnesota,2011,5344861,56954,787,1176,0.502985952300724,0.497014047699276,0.11909302647975435
28,Mississippi,2011,2978512,36919,689,643,0.5143098298747831,0.48569017012521687,0.22554629249206457
29,Missouri,2011,6010688,45247,708,898,0.5099136737757808,0.49008632622421927,0.15778329186337034
30,Montana,2011,998199,44222,650,809,0.49878631415178737,0.5012136858482126,0.1478955878955879
31,Nebraska,2011,1842641,50296,673,909,0.5047890500645541,0.4952109499354459,0.13117603498623745
32,Nevada,2011,2723322,48927,936,1260,0.49592813482944725,0.5040718651705527,0.15896266617396823
33,New Hampshire,2011,1318194,62647,939,1513,0.506096978138271,0.493903021861729,0.0881193134644341
34,New Jersey,2011,8821155,67458,1135,1918,0.5127007744450698,0.48729922555493016,0.10378361174315101
35,New Mexico,2011,2082224,41963,729,785,0.5021870845787966,0.4978129154212035,0.21537700792644415
36,New York,2011,19465197,55246,1058,1368,0.5151342675853731,0.484865732414627,0.15972011038910747
37,North Carolina,2011,9656401,43916,745,943,0.5145351772363224,0.4854648227636777,0.17871005075328317
38,North Dakota,2011,683932,51704,626,727,0.49710789961575125,0.5028921003842487,0.12246072133153059
39,Ohio,2011,11544951,45749,692,955,0.5113424041383978,0.4886575958616022,0.16430375061720726
40,Oklahoma,2011,3791508,43225,675,756,0.5047239779000862,0.4952760220999138,0.17214218070283593
41,Oregon,2011,3871859,46816,840,1192,0.5056338570180371,0.4943661429819629,0.17455082252894077
42,Pennsylvania,2011,12742886,50228,786,980,0.5121326518969094,0.4878673481030906,0.13756636416595408
44,Rhode Island,2011,1051302,53636,875,1522,0.5164129812366,0.48358701876340004,0.14735415237127714
45,South Carolina,2011,4679230,42367,741,823,0.5139623399576426,0.4860376600423574,0.18882365150988323
46,South Dakota,2011,824082,48321,612,791,0.5018638921854864,0.4981361078145136,0.13924380277579282
47,Tennessee,2011,6403353,41693,715,832,0.51291909098249,0.48708090901751006,0.1828737604820712
48,Texas,2011,25674681,49392,813,1001,0.5037460445954518,0.49625395540454814,0.18462506169946502
49,Utah,2011,2817222,55869,822,1177,0.49679542471271343,0.5032045752872866,0.13526252966069893
50,Vermont,2011,626431,52776,849,1174,0.5076983738033398,0.4923016261966601,0.11488833004011736
51,Virginia,2011,8096604,61882,1062,1302,0.508586686467561,0.49141331353243906,0.11534014184873932
53,Washington,2011,6830038,56835,930,1378,0.5010187351812684,0.4989812648187316,0.13896334016392523
54,West Virginia,2011,1855364,38482,599,508,0.5071188187331435,0.49288118126685654,0.18577320674227737
55,Wisconsin,2011,5711767,50395,739,1086,0.503633113885773,0.496366886114227,0.13067183931006135
56,Wyoming,2011,568158,56322,759,894,0.4906064862239025,0.5093935137760975,0.11298469820354529
72,Puerto Rico,2011,3706690,18660,442,271,0.5224245890538459,0.47757541094615413,0.45576497308072517
01,Alabama,2012,4822023,41574,689,725,0.5154956747406638,0.4845043252593362,0.18962570039630522
02,Alaska,2012,731449,67712,1120,1364,0.47898759858855505,0.521012401411445,0.10117270908094934
04,Arizona,2012,6553255,47826,888,969,0.502432455321821,0.497567544678179,0.1866044457094706
05,Arkansas,2012,2949131,40112,640,647,0.5085789678383226,0.4914210321616775,0.1982707048764126
06,California,2012,38041430,58328,1200,1682,0.5027060496937155,0.4972939503062845,0.16956475071110397
08,Colorado,2012,5187582,56765,934,1281,0.4985390110459941,0.5014609889540059,0.13707482100763632
09,Connecticut,2012,3590347,67276,1019,1668,0.5126359652702093,0.48736403472979073,0.10688030290071288
10,Delaware,2012,917092,58415,960,1215,0.5151075355580466,0.4848924644419535,0.1204697677656056
11,District of Columbia,2012,632323,66583,1235,1925,0.5270834684172487,0.4729165315827512,0.18178018593967074
12,Florida,2012,19317568,45040,954,992,0.511273831157214,0.488726168842786,0.1712404280792592
13,Georgia,2012,9919945,47209,837,1039,0.5109798491826315,0.48902015081736844,0.1915063056611921
15,Hawaii,2012,1392313,66259,1379,1646,0.49638048341141683,0.5036195165885832,0.11589066215023046
16,Idaho,2012,1595728,45489,702,913,0.4994685811115679,0.5005314188884321,0.1587302804004571
17,Illinois,2012,12875255,55137,868,1215,0.5093958915765163,0.4906041084234837,0.1471774841343136
18,Indiana,2012,6537334,46974,715,834,0.507881194382909,0.492118805617091,0.1561430071756488
19,Iowa,2012,3074186,50957,661,817,0.5042242076439096,0.4957757923560904,0.12691844093839572
20,Kansas,2012,2885905,50241,711,892,0.5028883487155675,0.49711165128443247,0.13979481173232383
21,Kentucky,2012,4380415,41724,636,732,0.508051406088236,0.49194859391176404,0.19382553236876995
22,Louisiana,2012,4601893,42944,747,689,0.5113124099147894,0.48868759008521057,0.19949735436718405
23,Maine,2012,1329192,46709,744,933,0.5104439388741431,0.4895560611258569,0.1467277226842485
24,Maryland,2012,5884563,71122,1170,1589,0.5158024478623137,0.48419755213768634,0.10284770765496057
25,Massachusetts,2012,6646144,65339,1036,1621,0.5155457059010458,0.48445429409895424,0.11888905621128266
26,Michigan,2012,9883360,46859,748,902,0.5091316111120104,0.4908683888879895,0.17438119324155402
27,Minnesota,2012,5379139,58906,813,1130,0.5035002813647315,0.4964997186352686,0.11381407273459741
28,Mississippi,2012,2984926,37095,666,625,0.516881825546094,0.48311817445390604,0.24153530573629575
29,Missouri,2012,6021988,45321,706,861,0.5095322342057141,0.49046776579428586,0.1623485271003397
30,Montana,2012,1005141,45076,681,804,0.4991170393009538,0.5008829606990463,0.15521102515414126
31,Nebraska,2012,1855525,50723,692,918,0.5025133048598106,0.49748669514018945,0.12991975141373444
32,Nevada,2012,2758931,49760,944,1159,0.4955060492632835,0.5044939507367165,0.16436612698243375
33,New Hampshire,2012,1320718,63280,967,1466,0.5091397255129407,0.4908602744870593,0.10036194549021231
34,New Jersey,2012,8864590,69667,1148,1884,0.5125058237324005,0.4874941762675995,0.10756766850294529
35,New Mexico,2012,2085538,42558,753,760,0.503784155455331,0.49621584454466905,0.20845539222350787
36,New York,2012,19570261,56448,1079,1371,0.5152914925355364,0.48470850746446353,0.15867634519061624
37,North Carolina,2012,9752073,45150,756,903,0.5128167108675253,0.4871832891324747,0.18034880118345176
38,North Dakota,2012,699628,53585,644,708,0.4888840926892577,0.5111159073107423,0.11217718847984447
39,Ohio,2012,11544225,46829,700,925,0.5112158676740968,0.48878413232590323,0.1625144444676019
40,Oklahoma,2012,3814820,44312,686,742,0.5046143723688142,0.49538562763118577,0.17229426651634627
41,Oregon,2012,3899353,49161,862,1193,0.504330846681488,0.4956691533185121,0.1720571148113709
42,Pennsylvania,2012,12763536,51230,798,971,0.5119430070162375,0.4880569929837625,0.13706517967208162
44,Rhode Island,2012,1050292,54554,878,1500,0.5174341992512559,0.48256580074874417,0.13747057001392451
45,South Carolina,2012,4723723,43107,754,801,0.5139890717554776,0.48601092824452236,0.18270164742684147
46,South Dakota,2012,833354,48362,651,778,0.49864883350892897,0.501351166491071,0.13408511643520532
47,Tennessee,2012,6456243,42764,730,807,0.5129123857326932,0.48708761426730685,0.17937278847470312
48,Texas,2012,26059203,50740,831,988,0.503238145848129,0.496761854151871,0.17926362048898178
49,Utah,2012,2855287,57049,851,1156,0.49741374509812847,0.5025862549018715,0.12830165144938382
50,Vermont,2012,626011,52977,860,1159,0.5061045253198426,0.4938954746801574,0.11815608424712978
51,Virginia,2012,8185867,61741,1068,1273,0.5095149970064259,0.49048500299357417,0.11740158598385289
53,Washington,2012,6897012,57573,954,1356,0.5010260965183184,0.49897390348168164,0.13535742880661064
54,West Virginia,2012,1855413,40196,607,494,0.5086371605674855,0.49136283943251446,0.17769668058569865
55,Wisconsin,2012,5726398,51059,743,1060,0.5035732759057264,0.4964267240942736,0.13230544968055677
56,Wyoming,2012,576412,54901,742,839,0.4921410380075363,0.5078589619924637,0.12649324510860369
72,Puerto Rico,2012,3667084,19429,448,290,0.5207982691424576,0.4792017308575424,0.4492519315378663
01,Alabama,2013,4833722,42849,694,718,0.515514338640079,0.484485661359921,0.18730944285591605
02,Alaska,2013,735132,72237,1117,1311,0.47437467012726964,0.5256253298727304,0.09329040215268411
04,Arizona,2013,6626624,48510,890,943,0.5022977009107503,0.4977022990892497,0.18626284140764107
05,Arkansas,2013,2959373,40511,659,637,0.5061305215665616,0.4938694784334384,0.1967984993074262
06,California,2013,38332521,60190,1224,1612,0.502452604147794,0.49754739585220603,0.1683507216791511
